User,PID,CPU,Memory,VSZ,RSS,TTY,STAT,Start,Time,Command
atik,3851,0.0,0.0,33577208,3248,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome_crashpad_handler
atik,3853,0.0,0.0,33567972,2936,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome_crashpad_handler
atik,3859,0.0,0.4,33862444,58588,?,S,ফেব22,0:00,/opt/google/chrome/chrome
atik,3860,0.0,0.4,33862432,58320,?,S,ফেব22,0:00,/opt/google/chrome/chrome
atik,3861,0.0,0.0,33568372,4716,?,S,ফেব22,0:00,/opt/google/chrome/nacl_helper
atik,3864,0.0,0.1,33862456,15904,?,S,ফেব22,0:02,/opt/google/chrome/chrome
atik,3889,3.2,1.7,34261032,211216,?,Sl,ফেব22,50:42,/opt/google/chrome/chrome
atik,3891,0.6,1.1,33933844,132504,?,Sl,ফেব22,10:44,/opt/google/chrome/chrome
atik,3902,0.0,0.4,33912032,52304,?,Sl,ফেব22,0:10,/opt/google/chrome/chrome
atik,3965,0.0,0.9,1184782880,112420,?,Sl,ফেব22,0:02,/opt/google/chrome/chrome
atik,3986,0.0,0.7,1184772628,91112,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome
atik,4007,0.0,1.1,1184786624,138984,?,Sl,ফেব22,0:18,/opt/google/chrome/chrome
atik,4046,0.0,0.9,1184781172,111424,?,Sl,ফেব22,0:04,/opt/google/chrome/chrome
atik,4075,0.1,0.8,1184780824,105712,?,Sl,ফেব22,2:51,/opt/google/chrome/chrome
atik,4085,0.0,0.7,1184772628,90684,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome
atik,4297,0.2,0.6,34450380,78908,?,Sl,ফেব22,3:44,/opt/google/chrome/chrome
atik,31180,1.6,4.4,1184848196,537272,?,Sl,ফেব23,11:05,/opt/google/chrome/chrome
atik,31208,0.0,0.6,1184772624,80892,?,Sl,ফেব23,0:00,/opt/google/chrome/chrome
atik,33758,4.4,2.2,1184811284,272416,?,Sl,ফেব23,28:38,/opt/google/chrome/chrome
atik,51574,0.5,1.2,1184782380,146984,?,Sl,ফেব23,2:49,/opt/google/chrome/chrome
atik,61351,0.5,1.7,1185864112,204820,?,Sl,00:35,0:18,/opt/google/chrome/chrome
atik,61557,33.4,3.2,1185934616,389296,?,Sl,00:37,18:06,/opt/google/chrome/chrome
atik,63480,0.0,0.0,33585760,2384,?,Sl,00:50,0:00,/snap/code/119/usr/share/code/chrome_crashpad_handler
atik,66476,0.0,0.9,1184772772,108936,?,Sl,01:15,0:00,/opt/google/chrome/chrome
atik,66872,1.4,1.7,1184794788,210296,?,Sl,01:20,0:09,/opt/google/chrome/chrome
atik,67861,2.3,1.0,1185806864,123148,?,Sl,01:28,0:04,/opt/google/chrome/chrome
atik,68056,0.0,0.5,1184748036,66832,?,Sl,01:30,0:00,/opt/google/chrome/chrome
atik,68120,0.2,0.6,1185804808,81792,?,Sl,01:31,0:00,/opt/google/chrome/chrome
